INTERACTOR_A	INTERACTOR_B
ce13218	ce14478
ce1335	ce1335
ce1921	ce6075
ce12034	ce4946
ce13004	ce9584
ce2838	ce9475
ce11440	ce1231
ce1659	ce7188
ce3961	ce6343
ce1883	ce7651
ce11713	ce3016
ce1951	ce5756
ce5031	ce8623
ce2783	ce5070
ce13739	ce8924
ce5073	ce6810
ce11658	ce3918
ce4271	ce6344
ce1162	ce412
ce3956	ce5683
ce12615	ce8534
ce14867	ce4643
ce1784	ce4271
ce1792	ce2062
ce1480	ce17671
ce14608	ce6058
ce14020	ce6075
ce1022	ce13816
ce16955	ce1767
ce17209	ce2313
ce17181	ce691
ce12607	ce17546
ce2783	ce3317
ce10758	ce895
ce17884	ce6498
ce13300	ce17642
ce4826	ce5943
ce18882	ce9825
ce3366	ce3581
ce12615	ce360
ce7877	ce9528
ce12036	ce15494
ce4019	ce8924
ce6893	ce869
ce2005	ce877
ce2875	ce9156
ce1335	ce7815
ce11438	ce19012
ce3570	ce6992
ce5774	ce6989
ce12270	ce293
ce1220	ce4271
ce15816	ce5160
ce333	ce8007
ce12269	ce19220
ce17182	ce19190
ce4323	ce8617
ce3581	ce4950
ce1980	ce4978
ce885	ce9283
ce17571	ce2313
ce409	ce4389
ce3047	ce78
ce12038	ce3751
ce1227	ce981
ce17608	ce7952
ce13060	ce1541
ce2313	ce8272
ce14739	ce16002
ce4682	ce6167
ce4460	ce9584
ce1541	ce17811
ce3256	ce4888
ce17271	ce8924
ce11741	ce3292
ce10707	ce14230
ce3674	ce7496
ce11521	ce1921
ce3674	ce6023
ce1343	ce4845
ce1377	ce15282
ce2811	ce7783
ce2875	ce3429
ce1014	ce2794
ce283	ce4271
ce15710	ce5404
ce5580	ce7106
ce3581	ce7056
ce16497	ce6268
ce2875	ce843
ce13948	ce2795
ce1377	ce17609
ce13219	ce7872
ce1465	ce5711
ce13219	ce9829
ce12615	ce2534
ce15930	ce3557
ce2248	ce5632
ce10320	ce7020
ce12186	ce16003
ce7654	ce7654
ce14941	ce16003
ce15182	ce8269
ce19219	ce5281
ce5580	ce5581
ce18491	ce2005
ce1465	ce16315
ce12498	ce13884
ce17838	ce5924
ce16782	ce3256
ce1883	ce4805
ce7136	ce7586
ce12127	ce17182
ce1883	ce5279
ce3149	ce5176
ce11388	ce5581
ce14700	ce7466
ce13217	ce6987
ce11088	ce6373
ce16686	ce5886
ce14020	ce3674
ce19237	ce9693
ce15567	ce2795
ce1622	ce2795
ce3355	ce6675
ce241	ce6673
ce15050	ce2319
ce1958	ce6757
ce17537	ce5637
ce4741	ce7953
ce3855	ce8276
ce1453	ce3149
ce4271	ce7949
ce2795	ce3557
ce1220	ce1377
ce4271	ce9427
ce11339	ce4629
ce11987	ce7872
ce10637	ce777
ce13884	ce8180
ce13649	ce14375
ce1377	ce20
ce16714	ce5161
ce3981	ce9196
ce2795	ce4008
ce15897	ce2795
ce3581	ce6988
ce12762	ce1957
ce3727	ce5307
ce11741	ce15788
ce3649	ce3674
ce15135	ce1883
ce2905	ce8788
ce4066	ce412
ce17809	ce5161
ce10019	ce7872
ce1792	ce5473
ce12516	ce6354
ce3674	ce7466
ce14508	ce5756
ce1453	ce2292
ce13004	ce3308
ce3301	ce6673
ce6753	ce8700
ce1006	ce3649
ce12078	ce12078
ce15425	ce5637
ce13126	ce3907
ce7110	ce8736
ce12540	ce2075
ce5013	ce7213
ce12798	ce5632
ce12991	ce7026
ce14896	ce9581
ce1053	ce1377
ce12497	ce4271
ce15426	ce3355
ce2795	ce5071
ce11852	ce4557
ce4400	ce7877
ce12835	ce8924
ce2795	ce3010
ce12834	ce13424
ce14102	ce2795
ce1220	ce13422
ce15322	ce2874
ce10080	ce3139
ce1541	ce4255
ce13985	ce5342
ce3674	ce8791
ce11521	ce16994
ce3829	ce5581
ce1126	ce18190
ce2795	ce4063
ce11737	ce1541
ce4271	ce4422
ce17810	ce2949
ce7109	ce8924
ce16868	ce8924
ce4226	ce4271
ce18190	ce4156
ce18807	ce7137
ce1541	ce16313
ce13066	ce2313
ce13219	ce14426
ce13948	ce4682
ce14508	ce6075
ce1993	ce4851
ce12321	ce4156
ce13126	ce7158
ce14867	ce15247
ce13556	ce8924
ce18882	ce5872
ce16822	ce2292
ce4306	ce8788
ce16955	ce6989
ce18806	ce4659
ce1541	ce3982
ce3766	ce917
ce3674	ce8924
ce17327	ce3767
ce694	ce9377
ce4271	ce5212
ce11621	ce13124
ce3660	ce947
ce13273	ce292
ce6867	ce6867
ce2747	ce8434
ce11034	ce17182
ce4604	ce6573
ce1541	ce16992
ce14701	ce3674
ce2875	ce3391
ce1213	ce7495
ce5990	ce9121
ce18325	ce2795
ce12516	ce9424
ce6075	ce6989
ce3048	ce412
ce180	ce2208
ce13423	ce7952
ce10206	ce6552
ce1884	ce3674
ce4682	ce6338
ce2838	ce6989
ce13106	ce694
ce11340	ce1231
ce4051	ce8246
ce7055	ce7784
ce2153	ce3917
ce13816	ce1895
ce11190	ce1843
ce12567	ce7782
ce13219	ce14833
ce4271	ce91
ce4788	ce7655
ce2795	ce9700
ce2503	ce412
ce16994	ce9825
ce17642	ce8738
ce16239	ce8242
ce6643	ce9194
ce1202	ce6075
ce4683	ce627
ce4271	ce7078
ce1685	ce9121
ce1636	ce3430
ce11927	ce3981
ce4401	ce5756
ce11402	ce9087
ce15359	ce4978
ce12951	ce2949
ce4271	ce530
ce547	ce6058
ce15819	ce7877
ce7783	ce7953
ce18680	ce4069
ce12834	ce3829
ce1465	ce4400
ce1766	ce947
ce13522	ce3674
ce12498	ce16121
ce13881	ce3674
ce11083	ce7972
ce3855	ce8919
ce11740	ce1377
ce11987	ce16865
ce12538	ce3855
ce3956	ce6378
ce3692	ce7381
ce1921	ce3147
ce4596	ce964
ce19012	ce252
ce1475	ce7586
ce3329	ce5161
ce5832	ce7109
ce3649	ce872
ce11243	ce5306
ce8272	ce8373
ce13126	ce15607
ce13423	ce6673
ce1162	ce5031
ce18192	ce3930
ce3767	ce547
ce11521	ce13488
ce1751	ce7295
ce15497	ce2292
ce1541	ce283
ce1220	ce2795
ce150	ce3981
ce4682	ce8534
ce10019	ce5116
ce14508	ce2795
ce2536	ce9958
ce13422	ce3956
ce2516	ce5756
ce1458	ce2724
ce6167	ce8309
ce17185	ce2313
ce2875	ce9825
ce12081	ce7872
ce13237	ce17182
ce3674	ce9637
ce12462	ce8700
ce1338	ce8246
ce13911	ce19012
ce1883	ce1904
ce6076	ce6338
ce13126	ce3917
ce16119	ce7872
ce14734	ce5756
ce3778	ce5073
ce12566	ce4029
ce13942	ce16778
ce7820	ce7972
ce2730	ce6962
ce16315	ce2292
ce234	ce8924
ce1034	ce1220
ce8924	ce9524
ce15048	ce3102
ce13126	ce1480
ce1541	ce7651
ce3280	ce3956
ce19012	ce711
ce1377	ce1506
ce3489	ce8788
ce15132	ce3103
ce12386	ce14945
ce12540	ce7872
ce2533	ce3091
ce17030	ce17209
ce12080	ce9638
ce10201	ce6347
ce412	ce4680
ce12423	ce14941
ce2190	ce5922
ce12643	ce4271
ce10516	ce1951
ce3468	ce3649
ce2288	ce2360
ce13219	ce7678
ce1311	ce95
ce13737	ce16315
ce1231	ce8270
ce10921	ce2313
ce13195	ce7654
ce13985	ce2015
ce13422	ce7495
ce3695	ce3956
ce172	ce8246
ce13812	ce14608
ce7242	ce8246
ce17465	ce17465
ce2474	ce3016
ce16497	ce95
ce16867	ce7079
ce14608	ce19524
ce13126	ce18104
ce17642	ce5386
ce11747	ce4590
ce12127	ce4271
ce4255	ce5756
ce16527	ce8922
ce15927	ce6498
ce14973	ce2331
ce7564	ce9200
ce13219	ce5235
ce5585	ce8246
ce3674	ce7951
ce165	ce4271
ce1805	ce3489
ce10161	ce3768
ce3752	ce412
ce6497	ce6497
ce13219	ce3175
ce11926	ce16530
ce3478	ce5161
ce16199	ce7654
ce1883	ce18857
ce12032	ce13555
ce12083	ce788
ce13422	ce2795
ce5891	ce8736
ce1051	ce15322
ce13219	ce7649
ce14445	ce4948
ce4156	ce5031
ce12569	ce8786
ce1881	ce5393
ce18263	ce2713
ce2528	ce4389
ce1087	ce2875
ce10707	ce4945
ce17644	ce8274
ce1377	ce1377
ce14942	ce16239
ce16007	ce7163
ce3752	ce4271
ce2556	ce8877
ce2795	ce3271
ce10708	ce8337
ce14867	ce7649
ce1921	ce3956
ce3671	ce799
ce1792	ce8824
ce11444	ce15651
ce4271	ce9156
ce2035	ce5156
ce16372	ce19012
ce5943	ce694
ce12834	ce27
ce12501	ce2517
ce1220	ce981
ce1014	ce1115
ce14072	ce18004
ce13125	ce7820
ce15286	ce3292
ce3956	ce5799
ce7526	ce8877
ce10758	ce393
ce15494	ce2292
ce13066	ce17642
ce15859	ce1825
ce10983	ce412
ce15322	ce8534
ce2667	ce4947
ce16783	ce7079
ce15045	ce895
ce14870	ce8924
ce10380	ce18039
ce14413	ce1541
ce2474	ce5541
ce3499	ce4271
ce1825	ce6498
ce10380	ce12834
ce2012	ce8274
ce13556	ce4271
ce12880	ce2208
ce16315	ce7465
ce13219	ce8924
ce11699	ce2208
ce1227	ce9764
ce14869	ce555
ce1602	ce6075
ce124	ce19238
ce6023	ce7467
ce2304	ce9283
ce13126	ce9381
ce1590	ce2730
ce16077	ce906
ce11439	ce13812
ce1710	ce6673
ce13851	ce4683
ce14646	ce3674
ce16625	ce7163
ce4363	ce8534
ce13064	ce3918
ce13816	ce1541
ce3674	ce8468
ce1377	ce3597
ce6127	ce7322
ce4270	ce5706
ce19142	ce6710
ce16346	ce4976
ce12832	ce8788
ce17182	ce18559
ce11447	ce8532
ce13988	ce15710
ce17643	ce17643
ce12834	ce9823
ce15285	ce8310
ce12687	ce4422
ce16348	ce9120
ce15010	ce16994
ce12615	ce13423
ce12128	ce3009
ce16007	ce6143
ce18428	ce3292
ce2785	ce7717
ce12796	ce8924
ce6780	ce7877
ce3972	ce6059
ce15318	ce4947
ce15898	ce4996
ce17812	ce412
ce16687	ce6075
ce12568	ce7877
ce16779	ce8435
ce1377	ce13942
ce13126	ce4683
ce10204	ce12639
ce17499	ce17610
ce3767	ce3767
ce12081	ce7645
ce17125	ce5886
ce16625	ce9527
ce3855	ce57
ce3027	ce8110
ce12540	ce9377
ce13273	ce6075
ce12387	ce17030
ce4148	ce95
ce1040	ce1231
ce8789	ce9697
ce8274	ce9826
ce14869	ce4890
ce10016	ce1880
ce6347	ce6373
ce10439	ce319
ce14834	ce14867
ce15132	ce7103
ce2795	ce981
ce1767	ce1883
ce1193	ce5317
ce3981	ce7380
ce7381	ce9826
ce14445	ce348
ce2313	ce3581
ce1218	ce6313
ce11141	ce1805
ce2969	ce4271
ce1069	ce6354
ce1883	ce299
ce7523	ce8788
ce412	ce843
ce15358	ce2332
ce19220	ce895
ce10380	ce3671
ce1162	ce2875
ce4271	ce7615
ce18946	ce5490
ce11887	ce4322
ce15819	ce16628
ce412	ce947
ce10013	ce10019
ce3660	ce7820
ce11745	ce1377
ce6620	ce8274
ce10019	ce8790
ce16955	ce299
ce13815	ce2972
ce14414	ce4683
ce15185	ce7877
ce8110	ce9693
ce13157	ce17182
ce3355	ce8113
ce15188	ce3981
ce10201	ce9121
ce3674	ce5136
ce16497	ce3799
ce1857	ce7654
ce13488	ce8009
ce17397	ce885
ce13127	ce777
ce705	ce8467
ce2313	ce7872
ce1220	ce1425
ce2208	ce412
ce15132	ce7877
ce1022	ce3328
ce1014	ce17646
ce1541	ce16662
ce16658	ce8007
ce4947	ce7652
ce4067	ce4271
ce1560	ce3674
ce1311	ce4172
ce8657	ce951
ce12188	ce16040
ce4271	ce6957
ce19012	ce5257
ce16239	ce4372
ce19012	ce9281
ce15189	ce6843
ce15856	ce8785
ce14200	ce3855
ce1377	ce2474
ce18560	ce523
ce17182	ce19240
ce15249	ce3956
ce14020	ce2795
ce16955	ce4400
ce3252	ce4271
ce11925	ce8272
ce393	ce9380
ce8536	ce8956
ce1856	ce8153
ce409	ce5889
ce2557	ce6341
ce12272	ce5491
ce13816	ce6343
ce12035	ce2313
ce3649	ce4308
ce11082	ce6025
ce14867	ce3477
ce13235	ce9043
ce4019	ce6987
ce16117	ce882
ce1498	ce4837
ce12725	ce15859
ce16003	ce4425
ce12615	ce16
ce2795	ce3956
ce6754	ce7654
ce12918	ce5867
ce12834	ce16824
ce3252	ce412
ce2556	ce8460
ce1453	ce17611
ce3751	ce451
ce5279	ce7715
ce13126	ce7715
ce4271	ce8573
ce1335	ce9581
ce14262	ce2924
ce11797	ce1309
ce1372	ce7820
ce11930	ce11933
ce14478	ce2313
ce13126	ce3594
ce10925	ce2533
ce5707	ce9119
ce16005	ce18232
ce10871	ce1480
ce1481	ce2875
ce6841	ce8270
ce13219	ce6994
ce3160	ce9957
ce5068	ce8860
ce393	ce9584
ce600	ce6841
ce13066	ce4271
ce2795	ce3571
ce1608	ce869
ce11438	ce13784
ce1213	ce8405
ce30	ce7783
ce16347	ce6548
ce5543	ce8272
ce2795	ce6059
ce10015	ce16779
ce13219	ce13332
ce5218	ce78
ce3290	ce4271
ce5073	ce5887
ce4621	ce7875
ce2503	ce7872
ce15358	ce2794
ce1014	ce1883
ce14736	ce2313
ce3034	ce7645
ce14292	ce5756
ce16120	ce2949
ce15819	ce6224
ce2437	ce3855
ce10512	ce3917
ce13126	ce19012
ce1849	ce7783
ce4271	ce7345
ce11986	ce15494
ce2652	ce6992
ce1586	ce18946
ce4629	ce8617
ce3658	ce9283
ce1218	ce8110
ce16239	ce2292
ce15708	ce7645
ce1686	ce2035
ce15925	ce16315
ce3317	ce7055
ce5581	ce7110
ce3291	ce8924
ce2502	ce8311
ce1792	ce1871
ce15816	ce2630
ce13334	ce6546
ce2670	ce7646
ce1377	ce14900
ce18229	ce2783
ce2292	ce7872
ce14800	ce5405
ce4084	ce9197
ce2795	ce3281
ce16498	ce1691
ce17131	ce895
ce2875	ce5832
ce1162	ce6075
ce13106	ce2948
ce10019	ce1143
ce1541	ce7346
ce2875	ce4211
ce15427	ce17773
ce14248	ce4655
ce1155	ce1686
ce13219	ce18779
ce5763	ce6757
ce18190	ce3298
ce13301	ce8274
ce11572	ce4307
ce16865	ce9584
ce882	ce8924
ce3570	ce3919
ce1218	ce16716
ce5031	ce6340
ce1377	ce9283
ce13126	ce3855
ce16432	ce1691
ce15494	ce8245
ce14248	ce607
ce10577	ce3674
ce13219	ce2508
ce1086	ce412
ce4459	ce7562
ce15322	ce2313
ce13300	ce3674
ce1302	ce3317
ce1814	ce2732
ce12322	ce3368
ce1686	ce393
ce15495	ce2533
ce2629	ce2875
ce1480	ce14834
ce2957	ce5091
ce2795	ce3118
ce10927	ce3570
ce1014	ce2795
ce1368	ce1805
ce4682	ce8110
ce16688	ce7349
ce10580	ce9975
ce2528	ce3033
ce1377	ce1519
ce1335	ce2957
ce4271	ce4446
ce17433	ce8310
ce1824	ce5943
ce4682	ce894
ce1857	ce2066
ce547	ce7644
ce16315	ce8791
ce12615	ce3367
ce12914	ce14896
ce12833	ce13650
ce4271	ce491
ce6810	ce8736
ce1560	ce3649
ce16003	ce5681
ce17948	ce7163
ce311	ce3674
ce12949	ce14867
ce13193	ce3027
ce11934	ce1480
ce19012	ce8307
ce1022	ce1378
ce4271	ce8010
ce11890	ce6436
ce3981	ce5342
ce12272	ce3674
ce10318	ce1541
ce13489	ce9119
ce11083	ce7255
ce13816	ce4806
ce13124	ce14608
ce13125	ce1541
ce11798	ce4271
ce1014	ce4156
ce5581	ce5890
ce13924	ce7646
ce12615	ce7872
ce13816	ce1957
ce16500	ce3160
ce4029	ce5114
ce12947	ce8788
ce12354	ce17642
ce10014	ce11893
ce13556	ce3581
ce1465	ce16044
ce5886	ce7846
ce4423	ce7267
ce6498	ce895
ce2315	ce5756
ce3581	ce6989
ce5581	ce5581
ce12949	ce17545
ce4271	ce5683
ce3799	ce5073
ce1541	ce3102
ce3272	ce9424
ce3956	ce9527
ce13219	ce7105
ce14358	ce5307
ce16822	ce294
ce4287	ce8110
ce11934	ce1335
ce12834	ce17433
ce16003	ce7079
ce3982	ce412
ce2783	ce745
ce3026	ce3751
ce12128	ce8008
ce19012	ce9528
ce17185	ce6673
ce1085	ce4271
ce16496	ce8919
ce13219	ce165
ce12269	ce6415
ce7679	ce8272
ce14947	ce7429
ce1006	ce412
ce15097	ce5194
ce15708	ce1695
ce17846	ce5923
ce16994	ce3571
ce15495	ce16239
ce13422	ce1817
ce1377	ce4629
ce2981	ce3674
ce3478	ce5846
ce13944	ce5637
ce13236	ce16781
ce1220	ce3768
ce12080	ce882
ce12687	ce594
ce1515	ce2924
ce16945	ce6354
ce11438	ce5637
ce14608	ce8788
ce2261	ce2795
ce9424	ce9528
ce4271	ce4870
ce632	ce9692
ce4271	ce6753
ce13219	ce19603
ce13006	ce8007
ce1597	ce3649
ce11091	ce15011
ce10321	ce13126
ce5875	ce6121
ce13912	ce362
ce1465	ce15565
ce18233	ce7161
ce1541	ce3581
ce10382	ce14071
ce2234	ce5031
ce639	ce8311
ce11087	ce3918
ce18903	ce3470
ce13158	ce13219
ce19012	ce5847
ce10204	ce712
ce16239	ce4307
ce2875	ce8498
ce12353	ce803
ce1453	ce4388
ce11797	ce2724
ce13913	ce5681
ce18856	ce3071
ce14869	ce5092
ce2556	ce882
ce5031	ce6100
ce5158	ce6075
ce15494	ce3730
ce1752	ce2236
ce3034	ce3160
ce1218	ce14834
ce14645	ce2957
ce5922	ce8180
ce5073	ce6711
ce1220	ce3853
ce1465	ce7820
ce1766	ce3916
ce16497	ce5136
ce13066	ce3674
ce1629	ce5281
ce3800	ce9119
ce16315	ce8336
ce1510	ce6075
ce1561	ce3751
ce3981	ce5092
ce6692	ce7323
ce15322	ce4446
ce16007	ce3753
ce12191	ce12568
ce5993	ce9975
ce4323	ce7878
ce16349	ce7429
ce5515	ce5681
ce1857	ce4826
ce3581	ce995
ce319	ce8206
ce12834	ce3737
ce15652	ce9000
ce3365	ce5031
ce16629	ce4826
ce5256	ce8007
ce16467	ce5886
ce4557	ce9698
ce6142	ce895
ce4976	ce5943
ce14608	ce292
ce10263	ce4271
ce4271	ce694
ce547	ce6075
ce2795	ce3752
ce1950	ce4271
ce14803	ce5193
ce2013	ce6075
ce1951	ce2587
ce1541	ce5889
ce16994	ce17361
ce3204	ce691
ce16687	ce4271
ce1014	ce2969
ce17546	ce7953
ce1194	ce1752
ce18045	ce2035
ce7265	ce8919
ce14901	ce14901
ce12426	ce8467
ce11390	ce5583
ce16315	ce8697
ce10925	ce12615
ce19012	ce3738
ce3570	ce8534
ce12191	ce14608
ce10513	ce421
ce3649	ce7323
ce13126	ce17433
ce13273	ce15358
ce10379	ce2175
ce3649	ce5136
ce18230	ce8467
ce8536	ce8536
ce15565	ce8924
ce1930	ce5756
ce10758	ce1881
ce1014	ce843
ce5258	ce7877
ce12949	ce19045
ce1498	ce3570
ce12033	ce3674
ce18192	ce2489
ce16687	ce5774
ce4682	ce4682
ce12640	ce1377
ce13219	ce8531
ce14019	ce15132
ce12798	ce376
ce3581	ce6547
ce7103	ce9482
ce12498	ce12615
ce1339	ce6306
ce7820	ce8336
ce2875	ce4681
ce18192	ce9697
ce14508	ce412
ce2885	ce376
ce1541	ce5712
ce14478	ce14478
ce13942	ce4363
ce13422	ce15816
ce4703	ce7872
ce15679	ce7107
ce13645	ce16955
ce2924	ce3557
ce18680	ce7782
ce1287	ce6075
ce7818	ce7820
ce219	ce6075
ce6500	ce9043
ce4826	ce5431
ce1737	ce3970
ce15558	ce3256
ce3956	ce6810
ce15816	ce6803
ce3292	ce7313
ce1635	ce3674
ce11742	ce3368
ce13126	ce14898
ce13216	ce1377
ce10161	ce13852
ce11087	ce1817
ce15449	ce9199
ce18882	ce6026
ce10019	ce17570
ce13556	ce4826
ce2949	ce8008
ce18680	ce2957
ce12797	ce1541
ce15010	ce2957
ce3034	ce5756
ce12975	ce2399
ce15558	ce16782
ce15526	ce4659
ce11672	ce1377
ce10380	ce4387
ce10926	ce13219
ce1541	ce5364
ce4742	ce8007
ce1767	ce4271
ce12834	ce9827
ce10261	ce8310
ce1674	ce2652
ce1951	ce3660
ce419	ce7432
ce5031	ce6329
ce13126	ce2464
ce10634	ce265
ce14260	ce5031
ce13126	ce7162
ce1662	ce3160
ce11744	ce7054
ce6989	ce8272
ce2292	ce8696
ce1984	ce5756
ce17642	ce4400
ce2208	ce7407
ce1792	ce7525
ce17433	ce18946
ce4271	ce6268
ce1101	ce9581
ce4421	ce8042
ce5943	ce5943
ce3674	ce6309
ce5490	ce5490
ce13758	ce3317
ce10206	ce4677
ce18902	ce5281
ce19239	ce5177
ce1174	ce3570
ce14072	ce5942
ce1883	ce2875
ce1227	ce12613
ce4271	ce8958
ce10979	ce14478
ce16278	ce16994
ce4019	ce5177
ce5073	ce5580
ce577	ce577
ce10707	ce2313
ce2785	ce6989
ce13942	ce4424
ce1377	ce15044
ce10378	ce2875
ce169	ce18192
ce3102	ce878
ce17029	ce3971
ce1065	ce412
ce11521	ce6075
ce10319	ce4629
ce13503	ce2732
ce4826	ce5709
ce12975	ce5453
ce11696	ce8788
ce5363	ce7466
ce11438	ce7820
ce4848	ce6989
ce10261	ce8622
ce3047	ce9959
ce1014	ce4308
ce14375	ce6692
ce15709	ce5756
ce8534	ce8788
ce3317	ce9283
ce14608	ce3570
ce1921	ce6956
ce13649	ce1749
ce2313	ce9424
ce18560	ce2360
ce4718	ce6374
ce7872	ce7877
ce15322	ce8465
ce13125	ce3403
ce3694	ce3799
ce18728	ce412
ce1470	ce1506
ce14040	ce2795
ce15860	ce8533
ce6991	ce7079
ce17095	ce19012
ce7162	ce7821
ce12540	ce3256
ce19012	ce2992
ce3970	ce799
ce8207	ce8467
ce1168	ce13126
ce1377	ce7877
ce12834	ce527
ce11141	ce4271
ce16004	ce4060
ce1883	ce2475
ce12038	ce5565
ce10019	ce12834
ce1541	ce6075
ce6098	ce7586
ce412	ce9694
ce14360	ce14608
ce13944	ce4271
ce2875	ce7264
ce12498	ce12834
ce2175	ce8246
ce10080	ce5047
ce14550	ce4996
ce13943	ce3251
ce2875	ce3272
ce17397	ce7495
ce15098	ce16041
ce4271	ce4681
ce17642	ce7079
ce3674	ce8273
ce13066	ce6075
ce4629	ce9119
ce12764	ce16239
ce4271	ce777
ce11592	ce3160
ce11444	ce7923
ce13556	ce5756
ce17774	ce6268
ce11444	ce8824
ce12424	ce8183
ce3511	ce4216
ce7678	ce7872
ce14608	ce5681
ce2075	ce4950
ce10081	ce8183
ce4968	ce8924
ce12035	ce14508
ce17272	ce17642
ce11243	ce2828
ce16199	ce4826
ce13236	ce14646
ce1871	ce9321
ce6056	ce895
ce17398	ce3355
ce13457	ce7430
ce17642	ce3103
ce13738	ce3855
ce319	ce8311
ce13219	ce17569
ce5031	ce7076
ce16779	ce347
ce3659	ce3674
ce14608	ce7654
ce16500	ce4826
ce1377	ce3429
ce1662	ce4271
ce2875	ce8619
ce2614	ce8657
ce6550	ce8924
ce2714	ce302
ce11340	ce8311
ce13063	ce9085
ce12273	ce7952
ce14897	ce5756
ce14646	ce2729
ce4870	ce6075
ce11486	ce12188
ce3317	ce393
ce10019	ce17950
ce10137	ce4271
ce12038	ce9240
ce16045	ce9690
ce10637	ce8924
ce8243	ce8467
ce10924	ce17182
ce6123	ce8788
ce1681	ce3767
ce2875	ce834
ce12950	ce2971
ce13912	ce17572
ce6313	ce7872
ce19189	ce5013
ce12321	ce5756
ce18883	ce7163
ce16823	ce8839
ce10380	ce16122
ce1883	ce2795
ce11933	ce14608
ce13219	ce18706
ce11987	ce7163
ce18680	ce7428
ce3364	ce5161
ce4113	ce4682
ce15130	ce15132
ce4271	ce7915
ce754	ce9424
ce1691	ce4948
ce16822	ce8270
ce7952	ce8245
ce3238	ce5756
ce18882	ce694
ce12390	ce2508
ce15526	ce5432
ce12643	ce3956
ce10319	ce2783
ce10440	ce4271
ce3478	ce5684
ce4978	ce6023
ce1480	ce6313
ce4826	ce6026
ce13812	ce7380
ce14478	ce7561
ce15282	ce7877
ce1311	ce7266
ce18193	ce19115
ce14700	ce2313
ce19115	ce7242
ce1321	ce2875
ce1213	ce2795
ce13488	ce4950
ce14867	ce303
ce5681	ce6991
ce3839	ce6058
ce16928	ce8923
ce16994	ce3430
ce12035	ce7242
ce17498	ce2875
ce14867	ce4030
ce15566	ce2875
ce3752	ce791
ce14229	ce2949
ce12615	ce3751
ce3727	ce6058
ce1014	ce15566
ce12975	ce248
ce1602	ce5541
ce1377	ce2542
ce15449	ce17642
ce2474	ce5756
ce12615	ce27
ce1155	ce3317
ce15046	ce8007
ce11205	ce5068
ce13556	ce2875
ce13065	ce7715
ce4271	ce4976
ce14869	ce16864
ce3981	ce729
ce16042	ce2949
ce11386	ce879
ce12915	ce8272
ce1804	ce2875
ce16045	ce5047
ce12038	ce2508
ce2128	ce3027
ce3355	ce9892
ce1499	ce5031
ce754	ce8700
ce11709	ce2785
ce14867	ce16993
ce1465	ce16688
ce19190	ce7612
ce10379	ce11799
ce16501	ce6962
ce16343	ce7715
ce13947	ce7497
ce15322	ce4661
ce3956	ce4826
ce4190	ce8785
ce2875	ce4308
ce7971	ce885
ce13219	ce7948
ce5031	ce5385
ce15281	ce2035
ce3581	ce4976
ce6309	ce7872
ce4459	ce9697
