INTERACTOR_A	INTERACTOR_B
dm12669	dm2335
dm2787	dm4772
dm5070	dm6674
dm10241	dm7888
dm11384	dm4170
dm11633	dm9704
dm7609	dm8431
dm11454	dm297
dm3957	dm7582
dm12117	dm906
dm4823	dm4845
dm11484	dm3500
dm4835	dm7466
dm10444	dm1105
dm1562	dm9393
dm11488	dm12628
dm7023	dm9217
dm12132	dm5720
dm6430	dm9251
dm7166	dm7636
dm10852	dm11311
dm3044	dm6687
dm3363	dm7666
dm12943	dm4087
dm5505	dm8813
dm13597	dm9181
dm12379	dm12805
dm1274	dm6988
dm12267	dm5062
dm12325	dm14045
dm13770	dm2309
dm2614	dm8934
dm1378	dm5456
dm8770	dm9447
dm7180	dm927
dm11262	dm1846
dm10216	dm8741
dm7399	dm761
dm4942	dm7144
dm10216	dm2944
dm1526	dm6983
dm3366	dm8037
dm2370	dm6455
dm3602	dm9021
dm11457	dm8664
dm10238	dm2928
dm11234	dm2436
dm10618	dm2088
dm4049	dm636
dm3310	dm6827
dm3467	dm72
dm2539	dm3887
dm3649	dm4182
dm12294	dm5191
dm13745	dm4298
dm1650	dm281
dm10117	dm10444
dm1269	dm5741
dm4920	dm5366
dm2068	dm2978
dm3895	dm5438
dm10317	dm13116
dm10268	dm247
dm2663	dm5629
dm1702	dm4636
dm5746	dm7036
dm10852	dm7078
dm13967	dm3425
dm3204	dm8769
dm11840	dm9448
dm11465	dm8733
dm11809	dm12268
dm2135	dm9554
dm8488	dm9217
dm3867	dm796
dm11588	dm3953
dm3808	dm3876
dm11123	dm11581
dm5740	dm7611
dm14039	dm7417
dm10033	dm1567
dm11426	dm9251
dm7611	dm9887
dm3363	dm8061
dm2093	dm3307
dm498	dm7598
dm10358	dm7720
dm6009	dm8035
dm2741	dm3107
dm2751	dm3291
dm11311	dm4153
dm10142	dm8503
dm2136	dm7161
dm2891	dm5878
dm1232	dm7599
dm10213	dm11322
dm1420	dm5221
dm6486	dm6687
dm3616	dm8886
dm6077	dm9410
dm2035	dm5914
dm4232	dm4380
dm1077	dm7687
dm1649	dm5192
dm7230	dm7887
dm4538	dm7723
dm11123	dm9755
dm3350	dm4920
dm2641	dm3357
dm10630	dm8134
dm10708	dm6008
dm3088	dm3614
dm6294	dm8419
dm12360	dm5298
dm126	dm1930
dm1077	dm3838
dm13176	dm7036
dm6715	dm7647
dm13973	dm2945
dm2614	dm3616
dm5513	dm8687
dm10183	dm2228
dm13560	dm8957
dm3785	dm7538
dm2712	dm6973
dm12888	dm6294
dm2614	dm3987
dm12825	dm4496
dm10676	dm164
dm834	dm8730
dm2992	dm3180
dm10342	dm8934
dm503	dm9885
dm10453	dm12194
dm2400	dm6063
dm6576	dm8309
dm2228	dm6076
dm11456	dm7685
dm10678	dm4011
dm10215	dm8447
dm4189	dm7519
dm2713	dm4241
dm11927	dm2789
dm5965	dm7023
dm1619	dm715
dm1182	dm97
dm10592	dm13770
dm11311	dm448
dm3340	dm4056
dm2858	dm9181
dm6756	dm7707
dm12248	dm9056
dm5720	dm7909
dm8110	dm9121
dm4293	dm9658
dm246	dm5100
dm10729	dm11311
dm327	dm8451
dm2623	dm4154
dm5757	dm8296
dm2337	dm9082
dm1994	dm5070
dm2453	dm5221
dm5493	dm9334
dm6060	dm8117
dm6007	dm7721
dm2068	dm8612
dm13787	dm2088
dm11947	dm13251
dm1586	dm4973
dm4669	dm8232
dm1287	dm3996
dm2444	dm4153
dm11409	dm2217
dm1444	dm733
dm4824	dm7742
dm11234	dm8920
dm6120	dm9271
dm650	dm8173
dm11807	dm13037
dm11454	dm247
dm6608	dm859
dm5669	dm9680
dm2718	dm3852
dm10880	dm9421
dm2271	dm4506
dm12959	dm9253
dm12226	dm13976
dm6994	dm9729
dm11661	dm5449
dm3772	dm6352
dm1113	dm5962
dm4100	dm4852
dm3224	dm6294
dm12858	dm9001
dm2196	dm6973
dm6973	dm7813
dm6010	dm8650
dm1627	dm6145
dm5024	dm6116
dm11077	dm8299
dm3110	dm5791
dm3772	dm8766
dm2676	dm7320
dm1099	dm13742
dm11927	dm2252
dm9375	dm9938
dm1770	dm7599
dm2260	dm9628
dm4008	dm4568
dm10904	dm6342
dm8280	dm9127
dm8028	dm9707
dm7143	dm7609
dm6117	dm7921
dm8667	dm8712
dm10314	dm1577
dm7951	dm8086
dm4839	dm4841
dm2782	dm8157
dm10210	dm9083
dm12845	dm14045
dm3781	dm4836
dm11927	dm12073
dm12325	dm2071
dm2824	dm5070
dm1744	dm321
dm3887	dm6784
dm1277	dm13037
dm715	dm9240
dm11409	dm2483
dm11339	dm4815
dm11641	dm7707
dm4494	dm7611
dm2950	dm9925
dm6243	dm6686
dm10801	dm3869
dm4171	dm9412
dm6924	dm7286
dm5125	dm9659
dm11631	dm13016
dm3581	dm7022
dm11853	dm13946
dm12562	dm5025
dm3357	dm4251
dm2182	dm3876
dm8589	dm8741
dm5403	dm956
dm1936	dm8696
dm3029	dm3182
dm1160	dm1175
dm10676	dm4368
dm1537	dm6280
dm3099	dm715
dm3164	dm4976
dm5318	dm7611
dm616	dm7952
dm10801	dm480
dm4812	dm5453
dm11411	dm3075
dm2361	dm3567
dm7441	dm9314
dm13340	dm5292
dm11682	dm1229
dm11431	dm5708
dm5259	dm8134
dm5070	dm7952
dm9251	dm9678
dm3467	dm8691
dm12806	dm221
dm427	dm9755
dm4310	dm7887
dm7023	dm9069
dm11661	dm2945
dm2464	dm8448
dm13937	dm7417
dm7952	dm809
dm2271	dm2374
dm180	dm2252
dm3570	dm4321
dm12325	dm7334
dm10478	dm4402
dm2673	dm3816
dm12805	dm2986
dm6061	dm7104
dm11483	dm11537
dm13416	dm7788
dm2703	dm5407
dm2039	dm8299
dm11384	dm5121
dm5190	dm6993
dm13937	dm1868
dm2006	dm4028
dm4578	dm5058
dm3772	dm5569
dm10590	dm1646
dm246	dm5720
dm1077	dm13335
dm8037	dm860
dm13684	dm8710
dm8646	dm984
dm4919	dm9205
dm6649	dm701
dm12379	dm1590
dm4064	dm4493
dm11409	dm4666
dm11098	dm5044
dm35	dm878
dm500	dm6715
dm559	dm8157
dm2654	dm6770
dm3615	dm8646
dm1099	dm5505
dm107	dm2653
dm5569	dm8311
dm6433	dm9308
dm5240	dm6010
dm2051	dm852
dm5703	dm8696
dm13087	dm6715
dm10196	dm636
dm8811	dm911
dm5720	dm5912
dm12114	dm2978
dm12436	dm8332
dm14004	dm5604
dm2585	dm5703
dm2738	dm9233
dm3363	dm9146
dm3000	dm9678
dm5292	dm6399
dm11359	dm7449
dm3567	dm6649
dm10930	dm8186
dm12073	dm6146
dm7062	dm7756
dm13043	dm3895
dm11706	dm8311
dm2999	dm9626
dm1508	dm7110
dm5717	dm8951
dm2334	dm6448
dm8664	dm9149
dm2997	dm8699
dm10649	dm3273
dm2145	dm5554
dm5259	dm5342
dm5318	dm6513
dm10520	dm3662
dm11727	dm481
dm2623	dm9734
dm11947	dm6404
dm11797	dm11797
dm4973	dm5322
dm2831	dm6062
dm6008	dm6983
dm490	dm7511
dm14010	dm8161
dm6098	dm6718
dm1039	dm4757
dm11187	dm11234
dm13248	dm9253
dm1068	dm9181
dm11214	dm11483
dm12407	dm7672
dm5978	dm9358
dm2799	dm6280
dm13302	dm5763
dm207	dm4878
dm3500	dm6784
dm10498	dm4755
dm6411	dm9707
dm11358	dm4046
dm10193	dm3772
dm5786	dm6060
dm6060	dm6687
dm1491	dm4722
dm4813	dm8309
dm13985	dm262
dm10637	dm8687
dm8371	dm9234
dm8349	dm984
dm7363	dm8402
dm13660	dm334
dm3662	dm6956
dm2071	dm5786
dm12843	dm3669
dm7599	dm7620
dm1547	dm1644
dm12805	dm1345
dm3449	dm8174
dm12843	dm6532
dm13361	dm4442
dm10320	dm14067
dm10355	dm9360
dm4577	dm5316
dm8951	dm9452
dm7646	dm887
dm1112	dm8983
dm11234	dm6687
dm12657	dm9467
dm3649	dm9922
dm12014	dm13612
dm6482	dm6516
dm11774	dm3869
dm3456	dm425
dm2243	dm6355
dm5452	dm5803
dm10030	dm5702
dm5994	dm6557
dm10399	dm6248
dm3953	dm8186
dm171	dm246
dm12742	dm6532
dm2871	dm4380
dm3124	dm7609
dm7611	dm852
dm13084	dm5024
dm10431	dm11947
dm12133	dm6007
dm5130	dm5398
dm10141	dm2930
dm11426	dm8709
dm11048	dm4496
dm2464	dm5629
dm14038	dm8380
dm3953	dm9219
dm1625	dm5318
dm1321	dm2135
dm6325	dm7634
dm3182	dm8696
dm14056	dm8038
dm2533	dm3351
dm6357	dm9001
dm5785	dm6301
dm13118	dm9640
dm2704	dm8956
dm10084	dm11636
dm4100	dm823
dm1295	dm2449
dm4064	dm7037
dm3365	dm4220
dm1326	dm3181
dm8461	dm9884
dm2436	dm8332
dm1936	dm2885
dm11269	dm9864
dm12651	dm4670
dm11430	dm3363
dm12381	dm4972
dm2260	dm975
dm12388	dm2772
dm1100	dm3602
dm13787	dm8157
dm2327	dm7440
dm1988	dm7513
dm3333	dm5334
dm2542	dm3832
dm10240	dm11243
dm11311	dm4579
dm180	dm3290
dm11853	dm3109
dm6529	dm8685
dm1577	dm8962
dm10141	dm4199
dm7871	dm9947
dm2265	dm8190
dm2361	dm7360
dm8158	dm9271
dm196	dm7648
dm13831	dm6428
dm12696	dm7479
dm2716	dm6960
dm11042	dm8812
dm7536	dm8186
dm1948	dm9314
dm7912	dm965
dm7683	dm9170
dm7278	dm7974
dm546	dm8134
dm12407	dm1657
dm11234	dm1889
dm11262	dm5979
dm4827	dm7161
dm1680	dm5618
dm12557	dm7846
dm1551	dm9452
dm10086	dm3492
dm3500	dm5208
dm11533	dm8547
dm1179	dm3000
dm13363	dm4991
dm12109	dm8769
dm179	dm546
dm3078	dm6411
dm1577	dm900
dm10704	dm6886
dm2714	dm5172
dm10183	dm8840
dm6666	dm8309
dm11342	dm12536
dm10144	dm7706
dm2280	dm4170
dm13380	dm13597
dm1281	dm1420
dm12139	dm2648
dm5513	dm8873
dm132	dm5190
dm2093	dm3394
dm1932	dm3714
dm14045	dm2121
dm4008	dm9200
dm1307	dm13246
dm10268	dm4442
dm3636	dm7707
dm11792	dm5998
dm11324	dm11947
dm2071	dm6145
dm7610	dm9640
dm168	dm7333
dm509	dm6344
dm2494	dm6991
dm8594	dm9446
dm1130	dm5557
dm11012	dm8394
dm4720	dm8431
dm2458	dm6720
dm2799	dm8062
dm10560	dm9467
dm13985	dm9056
dm4013	dm4102
dm3868	dm9471
dm3498	dm4319
dm4241	dm7063
dm2037	dm7272
dm11316	dm4839
dm12958	dm8035
dm3854	dm7082
dm11361	dm3483
dm340	dm4060
dm13955	dm5354
dm13758	dm4813
dm14045	dm8933
dm3150	dm7835
dm10001	dm8759
dm581	dm8329
dm11750	dm7054
dm12296	dm5937
dm4508	dm5024
dm10780	dm135
dm11636	dm6448
dm10256	dm11242
dm4441	dm5196
dm12742	dm8983
dm1932	dm8280
dm12827	dm2928
dm6281	dm7609
dm11947	dm9260
dm11235	dm13084
dm834	dm9426
dm7160	dm912
dm13577	dm6867
dm5262	dm5707
dm11688	dm12379
dm2488	dm4093
dm2775	dm3607
dm13417	dm8157
dm11638	dm6430
dm7497	dm8812
dm3123	dm3244
dm8467	dm9185
dm12275	dm126
dm8375	dm8402
dm3087	dm3363
dm3108	dm3751
dm13452	dm2655
dm3716	dm7302
dm10006	dm9409
dm7974	dm9426
dm10316	dm8309
dm6063	dm9271
dm1261	dm9663
dm12466	dm3717
dm12538	dm3126
dm3448	dm7380
dm588	dm7648
dm3456	dm5044
dm10727	dm11238
dm3708	dm6077
dm1568	dm2193
dm13087	dm233
dm10450	dm11644
dm4359	dm9181
dm2799	dm3125
dm1559	dm8021
dm2889	dm2937
dm13888	dm6931
dm2323	dm3772
dm12632	dm8741
dm10498	dm10929
dm1663	dm6832
dm4739	dm5466
dm1235	dm4008
dm3447	dm9592
dm11379	dm3973
dm597	dm7420
dm10118	dm11655
dm11631	dm3869
dm11813	dm9640
dm3651	dm9568
dm11507	dm6389
dm1473	dm7625
dm1718	dm4991
dm6973	dm7002
dm3211	dm3450
dm12767	dm7610
dm4200	dm5432
dm4010	dm5511
dm2255	dm4565
dm246	dm4325
dm2260	dm244
dm7521	dm8161
dm10632	dm3016
dm7363	dm994
dm12293	dm1805
dm4319	dm6074
dm1413	dm2614
dm8393	dm906
dm2787	dm4824
dm493	dm763
dm5954	dm7452
dm4868	dm701
dm5105	dm8111
dm1742	dm3182
dm7054	dm8650
dm3087	dm496
dm12743	dm4835
dm4220	dm5669
dm10142	dm590
dm3957	dm5910
dm12804	dm9148
dm1526	dm3766
dm11409	dm2370
dm12293	dm7196
dm11430	dm12812
dm3462	dm9592
dm776	dm911
dm1152	dm2768
dm5471	dm6098
dm13421	dm8402
dm11969	dm4679
dm10801	dm8766
dm10165	dm14091
dm11724	dm7570
dm6399	dm8999
dm590	dm7609
dm11312	dm3808
dm4766	dm6643
dm4130	dm7926
dm2891	dm7913
dm3832	dm7274
dm2879	dm6492
dm10190	dm8448
dm12358	dm3492
dm1107	dm12010
dm1401	dm4380
dm2183	dm9086
dm1619	dm9181
dm10143	dm9390
dm11834	dm2772
dm12094	dm3859
dm2601	dm9168
dm12444	dm2095
dm11280	dm7127
dm11173	dm8134
dm244	dm3602
dm1418	dm3973
dm12294	dm8454
dm10320	dm5740
dm11749	dm9448
dm12109	dm5133
dm12114	dm1657
dm4170	dm7359
dm10183	dm3636
dm3602	dm79
dm2444	dm5331
dm6341	dm9640
dm2244	dm809
dm5961	dm948
dm8371	dm9598
dm3568	dm6928
dm2243	dm4300
dm12382	dm12955
dm6061	dm9293
dm512	dm5830
dm13829	dm7161
dm4318	dm4362
dm1154	dm7722
dm8166	dm92
dm10618	dm12701
dm3182	dm4481
dm13633	dm23
dm6973	dm7054
dm11857	dm2805
dm11381	dm2889
dm2464	dm8659
dm10320	dm736
dm13829	dm1789
dm3602	dm956
dm10292	dm5554
dm3808	dm3953
dm2879	dm8549
dm1221	dm2236
dm2704	dm3682
dm1789	dm9021
dm13584	dm13832
dm3625	dm7725
dm2713	dm3602
dm115	dm7426
dm10316	dm9081
dm10782	dm8186
dm2520	dm7609
dm4043	dm6690
dm13264	dm7436
dm1326	dm383
dm5242	dm8278
dm1113	dm7579
dm106	dm6804
dm6142	dm7003
dm11834	dm263
dm8186	dm8838
dm12857	dm3439
dm11631	dm6870
dm7039	dm766
dm10341	dm9447
dm8374	dm9181
dm1526	dm8119
dm2738	dm4814
dm2872	dm8143
dm5208	dm758
dm2768	dm3602
dm11072	dm11262
dm3221	dm4283
dm6077	dm8245
dm5024	dm8621
dm12531	dm12910
dm6690	dm8185
dm11855	dm7054
dm11320	dm2681
dm2203	dm4603
dm1182	dm8173
dm11012	dm13719
dm223	dm6009
dm12418	dm4579
dm12953	dm9243
dm4835	dm7993
dm4265	dm6464
dm4293	dm4293
dm3967	dm4566
dm12113	dm2985
dm6411	dm9593
dm1585	dm3248
dm1113	dm14048
dm2093	dm5787
dm4017	dm4497
dm14056	dm5838
dm4033	dm9548
dm3568	dm3765
dm3369	dm5172
dm13321	dm5293
dm11834	dm2310
dm10883	dm6870
dm11088	dm12166
dm4566	dm4824
dm5552	dm6825
dm3204	dm9570
dm11163	dm7921
dm12973	dm7465
dm13037	dm5997
dm7384	dm8449
dm3816	dm3869
dm13577	dm7194
dm2449	dm2829
dm11234	dm11238
dm3616	dm3663
dm3832	dm6050
dm4838	dm649
dm13354	dm7794
dm3291	dm6415
dm157	dm1710
dm12613	dm7236
dm12325	dm7002
dm2093	dm5152
dm3752	dm6357
dm573	dm7333
dm5513	dm9309
dm1160	dm1420
dm6608	dm674
dm14004	dm5320
dm12388	dm8696
dm6481	dm7190
dm3906	dm7103
dm12080	dm6260
dm8311	dm8986
dm10633	dm12412
dm135	dm6448
dm13660	dm4130
dm6486	dm7
dm11428	dm8986
dm1988	dm3669
dm2361	dm5720
dm411	dm6690
dm12905	dm3409
dm8884	dm911
dm13648	dm6125
dm152	dm4990
dm3859	dm9168
dm1160	dm9373
dm6554	dm7162
dm1932	dm3602
dm3180	dm8920
dm2945	dm7868
dm737	dm8667
dm2711	dm4252
dm10785	dm7846
dm10929	dm13480
dm12294	dm4430
dm165	dm3134
dm7024	dm8157
dm6557	dm7757
dm7706	dm8884
dm10163	dm4494
dm7417	dm7581
dm4511	dm6867
dm9001	dm9755
dm6430	dm927
dm2082	dm7937
dm2035	dm9593
dm12278	dm9251
dm1510	dm3939
dm1061	dm6665
dm5192	dm5192
dm136	dm9738
dm3931	dm7132
dm2068	dm7610
dm10146	dm6469
dm104	dm715
dm11238	dm1228
dm11601	dm11831
dm5190	dm6061
dm5838	dm5927
dm13596	dm9864
dm1734	dm2689
dm11968	dm8750
dm13870	dm4093
dm6752	dm7363
dm13859	dm5356
dm12631	dm3751
dm1577	dm4170
dm1983	dm4636
dm12384	dm3365
dm837	dm9081
dm11342	dm5894
dm1526	dm6687
dm13769	dm6298
dm11947	dm7952
dm3803	dm6401
dm2713	dm4665
dm10840	dm8386
dm3211	dm9272
dm11311	dm1654
dm2398	dm7181
dm9573	dm9871
dm1681	dm2751
dm5085	dm8278
dm1182	dm13193
dm2799	dm8842
dm10887	dm12556
dm3817	dm8983
dm2998	dm7277
dm2071	dm6671
dm7336	dm9536
dm3492	dm3719
dm4757	dm6398
dm1365	dm868
dm4532	dm4838
dm11242	dm11451
dm5152	dm9755
dm6513	dm7994
dm5413	dm6446
dm10002	dm3785
dm10956	dm8161
dm3363	dm5997
dm2783	dm3895
dm13905	dm822
dm3162	dm7078
dm13817	dm13870
dm10691	dm5192
dm1607	dm6487
dm11511	dm3576
dm1532	dm7513
dm4322	dm619
dm12164	dm6086
dm10317	dm8233
dm7511	dm8741
dm1924	dm4506
dm11631	dm7883
dm5119	dm7974
dm1160	dm5226
dm10207	dm13417
dm11951	dm4666
dm5221	dm5926
dm5085	dm7555
dm14045	dm7365
dm10811	dm7103
dm3492	dm5086
dm5298	dm8824
dm4719	dm6147
dm1661	dm5913
dm8570	dm9200
dm9811	dm9811
dm3481	dm9467
dm9218	dm9218
dm3291	dm809
dm12669	dm13598
dm3669	dm6421
dm10708	dm860
dm4120	dm4241
dm13417	dm486
dm6102	dm9057
dm11032	dm8496
dm2901	dm6030
dm1951	dm2753
dm7317	dm8738
dm11777	dm12674
dm4093	dm8787
dm3144	dm6481
dm10112	dm13039
dm3108	dm9223
dm4990	dm809
dm11212	dm3366
dm3967	dm4332
dm13889	dm9447
dm3366	dm6375
dm11487	dm6404
dm3931	dm6344
dm11636	dm129
dm5169	dm8568
dm1827	dm6665
dm2556	dm8356
dm11454	dm6389
dm11161	dm11310
dm11724	dm7063
dm2738	dm7012
dm4072	dm6741
dm7650	dm8868
dm11655	dm7729
dm10376	dm13358
dm4725	dm9357
dm1547	dm5506
dm11728	dm5671
dm2398	dm7954
dm2995	dm9468
dm10998	dm11530
dm12881	dm5412
dm2467	dm6389
dm12673	dm2035
dm12647	dm1994
dm10086	dm9186
dm13985	dm3394
dm4531	dm5553
dm3718	dm4188
dm3867	dm6259
dm5119	dm7613
dm1428	dm2937
dm12470	dm9790
dm13417	dm3986
dm3973	dm9374
dm7611	dm965
dm7359	dm9185
dm3505	dm9220
dm5026	dm7993
dm7599	dm7997
dm14041	dm3180
dm744	dm8514
dm3803	dm878
dm5722	dm6191
dm12218	dm6909
dm10295	dm195
dm6825	dm8138
dm5894	dm9206
dm11311	dm590
dm6298	dm6951
dm3602	dm4012
dm13436	dm321
dm13337	dm6260
dm2751	dm3211
dm5514	dm7703
dm1747	dm2055
dm7871	dm9551
dm1221	dm1967
dm10977	dm9045
dm11856	dm4484
dm11076	dm1716
dm6279	dm8080
dm12944	dm425
dm4007	dm6007
dm11098	dm8699
dm12879	dm3876
dm1823	dm7552
dm1251	dm4579
dm1988	dm4497
dm6584	dm9598
dm3088	dm7818
dm7496	dm9706
dm5190	dm7214
dm11481	dm5573
dm6784	dm7513
dm2901	dm6430
dm11189	dm3751
dm11311	dm7601
dm3700	dm7951
dm12380	dm132
dm6007	dm8816
dm10002	dm12138
dm9081	dm9845
dm3065	dm5099
dm10408	dm1823
dm2903	dm7406
dm4519	dm5403
dm11032	dm7819
dm2464	dm8766
dm2623	dm7869
dm6389	dm8447
dm3522	dm9233
dm8667	dm8951
dm6259	dm6845
dm3792	dm715
dm11808	dm9446
dm2787	dm7406
dm13787	dm6261
dm2265	dm8501
dm3192	dm7449
dm2859	dm9086
dm14059	dm9708
dm11212	dm9058
dm11753	dm832
dm12118	dm6784
dm136	dm9819
dm2987	dm9907
dm9253	dm9274
dm13801	dm3751
dm6715	dm9293
dm4531	dm4531
dm10141	dm559
dm1217	dm8134
dm243	dm3832
dm3894	dm7609
dm10207	dm3291
dm2512	dm2944
dm933	dm9569
dm4090	dm6951
dm12164	dm7436
dm3886	dm9533
dm6295	dm6610
dm12888	dm8038
dm1235	dm6178
dm13870	dm2271
dm1099	dm3384
dm291	dm5979
dm1769	dm6716
dm10270	dm13818
dm5490	dm8402
dm12135	dm5497
dm1115	dm911
dm2558	dm3522
dm10783	dm13217
dm7997	dm8733
dm12843	dm5121
dm12112	dm2723
dm12914	dm7172
dm10590	dm11949
dm4557	dm92
dm10292	dm1585
dm1468	dm709
dm3363	dm5964
dm11428	dm11935
dm13577	dm6265
dm10593	dm6626
dm2897	dm7776
dm12973	dm2280
dm10340	dm9426
dm12721	dm1506
dm4468	dm9254
dm2512	dm8818
dm5322	dm7407
dm4087	dm4431
dm3448	dm6375
dm3897	dm7104
dm2713	dm3717
dm2695	dm9373
dm3481	dm783
dm6345	dm7629
dm14038	dm1474
dm11508	dm2025
dm1762	dm7254
dm5058	dm8113
dm11073	dm4568
dm11792	dm6623
dm4043	dm4835
dm6988	dm8754
dm1622	dm5281
dm12198	dm8042
dm11417	dm3469
dm12466	dm13219
dm10340	dm11452
dm1021	dm7181
dm3161	dm7490
dm11011	dm11383
dm11725	dm9885
dm11838	dm2030
dm10321	dm13337
dm126	dm3009
dm1162	dm4456
dm3684	dm5292
dm11074	dm1526
dm13990	dm2150
dm4842	dm6983
dm1982	dm9
dm5281	dm7466
dm1378	dm3074
dm3162	dm571
dm12090	dm952
dm12466	dm2614
dm7551	dm9640
dm11311	dm480
dm2361	dm3816
dm10419	dm3694
dm5322	dm8386
dm5299	dm8741
dm12828	dm13085
dm5979	dm9448
dm12070	dm5316
dm1680	dm3894
dm2676	dm8612
dm2601	dm3456
dm13583	dm4493
dm3000	dm5221
dm1581	dm94
dm3179	dm3182
dm11320	dm3161
dm4739	dm7499
dm13660	dm62
dm6845	dm8038
dm2760	dm8277
dm9250	dm9333
dm11296	dm12827
dm12389	dm4010
dm5192	dm6344
dm5281	dm9019
dm2847	dm985
dm4038	dm6051
dm5320	dm8693
dm3308	dm4120
dm5848	dm7611
dm3068	dm3180
dm7774	dm7774
dm246	dm4055
dm5713	dm7363
dm11312	dm5070
dm35	dm715
dm2499	dm7002
dm2071	dm2944
dm5787	dm7317
dm5937	dm6715
dm10981	dm1967
dm11238	dm4358
dm13597	dm1420
dm2739	dm304
dm10495	dm3876
dm10209	dm6122
dm3088	dm7975
dm1500	dm809
dm12023	dm5208
dm12844	dm2799
dm3772	dm498
dm3456	dm7002
dm10732	dm4256
dm13684	dm9273
dm6983	dm9253
dm11481	dm819
dm3772	dm9251
dm11212	dm1936
dm3259	dm6434
dm2135	dm961
dm359	dm8371
dm14041	dm5784
dm9124	dm9124
dm23	dm8277
dm1889	dm672
dm11605	dm4320
dm3106	dm3515
dm4568	dm809
dm2203	dm8568
dm11537	dm8023
dm11713	dm2813
dm2233	dm2767
dm13684	dm4929
dm196	dm2642
dm7524	dm7681
dm13494	dm5169
dm11527	dm5086
dm2617	dm4320
dm12721	dm9149
dm13205	dm13518
dm10271	dm2940
dm12098	dm3161
dm2654	dm6146
dm3867	dm8187
dm4224	dm5616
dm5617	dm9452
dm7973	dm8024
dm4520	dm7953
dm10183	dm7417
dm6045	dm8821
dm12723	dm8766
dm12490	dm3899
dm10801	dm8312
dm1177	dm3492
dm6294	dm9761
dm152	dm4232
dm2675	dm651
dm10444	dm3275
dm10214	dm8788
dm5121	dm5604
dm13178	dm4766
dm386	dm7022
dm11046	dm8135
dm2229	dm5994
dm5927	dm809
dm3772	dm5758
dm7640	dm8667
dm8296	dm9358
dm7381	dm9594
dm4920	dm6486
dm7883	dm9290
dm2880	dm8157
dm3969	dm9707
dm12489	dm8687
dm11041	dm4332
dm1326	dm4362
dm2614	dm7325
dm2801	dm8811
dm1718	dm3134
dm1920	dm6029
dm3455	dm7974
dm4763	dm7956
dm11611	dm9594
dm5039	dm5058
dm1326	dm2943
dm508	dm6690
dm12196	dm9057
dm5153	dm7200
dm13480	dm5511
dm11640	dm390
dm14041	dm3876
dm12173	dm1625
dm1982	dm6657
dm1277	dm9601
dm4700	dm9355
dm12111	dm8158
dm2601	dm2698
dm10209	dm92
